Cq,Condition,Replicate,Gene
3.628515686,IL-1_30,1,Nfkbia
3.642899185,IL-1_30,2,Nfkbia
4.220954889,IL-1_30,3,Nfkbia
2.226186003,IL-1_60,1,Nfkbia
1.625452673,IL-1_60,2,Nfkbia
2.016085439,IL-1_60,3,Nfkbia
-1.139554892,IL-1_120,1,Nfkbia
-0.491105075,IL-1_120,2,Nfkbia
-0.866713553,IL-1_120,3,Nfkbia
0.573652977,IL-1_H,1,Nfkbia
0.661138452,IL-1_H,2,Nfkbia
0.739528902,IL-1_H,3,Nfkbia
-0.302909586,IL-1_MH,1,Nfkbia
0.065930447,IL-1_MH,2,Nfkbia
0.174619674,IL-1_MH,3,Nfkbia
0.426472074,CON,1,Nfkbia
-0.188454721,CON,2,Nfkbia
-0.211411647,CON,3,Nfkbia
1.791840508,LPS,1,Nfkbia
1.740167215,LPS,2,Nfkbia
1.927503551,LPS,3,Nfkbia
-0.303771205,CON,4,Nfkbia
0.203027687,CON,5,Nfkbia
0.074137811,CON,6,Nfkbia
0.321626562,IL-1_30,1,Nfkbie
1.348884417,IL-1_30,2,Nfkbie
1.078181373,IL-1_30,3,Nfkbie
2.250774849,IL-1_60,1,Nfkbie
2.31519115,IL-1_60,2,Nfkbie
2.441259363,IL-1_60,3,Nfkbie
2.043086919,IL-1_120,1,Nfkbie
2.065735103,IL-1_120,2,Nfkbie
-0.727983595,IL-1_120,3,Nfkbie
2.983532563,IL-1_H,1,Nfkbie
2.711472265,IL-1_H,2,Nfkbie
2.775138394,IL-1_H,3,Nfkbie
2.665954567,IL-1_MH,1,Nfkbie
2.223248708,IL-1_MH,2,Nfkbie
2.090318791,IL-1_MH,3,Nfkbie
0.453708351,CON,1,Nfkbie
0.41646302,CON,2,Nfkbie
0.548437568,CON,3,Nfkbie
2.993622598,LPS,1,Nfkbie
3.256076119,LPS,2,Nfkbie
3.29067084,LPS,3,Nfkbie
-0.446179518,CON,4,Nfkbie
-0.437621808,CON,5,Nfkbie
-0.081099263,CON,6,Nfkbie
5.701509074,IL-1_30,1,Csf2
5.626612072,IL-1_30,2,Csf2
5.717362671,IL-1_30,3,Csf2
8.579280713,IL-1_60,1,Csf2
6.344026577,IL-1_60,2,Csf2
6.381381793,IL-1_60,3,Csf2
-2.264917766,IL-1_120,1,Csf2
-0.097099074,IL-1_120,2,Csf2
2.397483865,IL-1_120,3,Csf2
3.502022273,IL-1_H,1,Csf2
3.267864363,IL-1_H,2,Csf2
4.100966,IL-1_H,3,Csf2
2.353056078,IL-1_MH,1,Csf2
2.462580782,IL-1_MH,2,Csf2
2.844519953,IL-1_MH,3,Csf2
5.225274235,CON,1,Csf2
-1.067564688,CON,2,Csf2
-1.273885882,CON,3,Csf2
7.815800463,LPS,1,Csf2
6.791014185,LPS,2,Csf2
7.418687808,LPS,3,Csf2
-0.407293526,CON,4,Csf2
0.731180174,CON,5,Csf2
2.017563922,CON,6,Csf2
3.177394325,IL-1_30,1,Cxcl3
1.124159291,IL-1_30,2,Cxcl3
2.830380858,IL-1_30,3,Cxcl3
4.388440561,IL-1_60,1,Cxcl3
4.422843902,IL-1_60,2,Cxcl3
3.184707616,IL-1_60,3,Cxcl3
1.898996813,IL-1_120,1,Cxcl3
2.548594235,IL-1_120,2,Cxcl3
1.208040797,IL-1_120,3,Cxcl3
3.460038298,IL-1_H,1,Cxcl3
3.749365198,IL-1_H,2,Cxcl3
4.559128038,IL-1_H,3,Cxcl3
3.972990569,IL-1_MH,1,Cxcl3
4.557177787,IL-1_MH,2,Cxcl3
3.653229617,IL-1_MH,3,Cxcl3
4.227368349,CON,1,Cxcl3
-0.212100494,CON,2,Cxcl3
-1.156139063,CON,3,Cxcl3
7.955375648,LPS,1,Cxcl3
6.780425229,LPS,2,Cxcl3
7.224329304,LPS,3,Cxcl3
-0.345715246,CON,4,Cxcl3
0.775538148,CON,5,Cxcl3
0.938416654,CON,6,Cxcl3
3.590455655,IL-1_30,1,Tnfaip3
5.181572185,IL-1_30,2,Tnfaip3
4.602386228,IL-1_30,3,Tnfaip3
2.412649194,IL-1_60,1,Tnfaip3
2.638184988,IL-1_60,2,Tnfaip3
3.30340647,IL-1_60,3,Tnfaip3
-2.575293868,IL-1_120,1,Tnfaip3
-1.685762086,IL-1_120,2,Tnfaip3
-2.863976816,IL-1_120,3,Tnfaip3
-0.703619438,IL-1_H,1,Tnfaip3
-0.394663337,IL-1_H,2,Tnfaip3
0.03567231,IL-1_H,3,Tnfaip3
-0.492241237,IL-1_MH,1,Tnfaip3
-0.231189603,IL-1_MH,2,Tnfaip3
-0.388987731,IL-1_MH,3,Tnfaip3
0.018212513,CON,1,Tnfaip3
-0.04085845,CON,2,Tnfaip3
-0.191630722,CON,3,Tnfaip3
2.548788236,LPS,1,Tnfaip3
2.243549845,LPS,2,Tnfaip3
2.402007335,LPS,3,Tnfaip3
-0.407488088,CON,4,Tnfaip3
0.417316064,CON,5,Tnfaip3
0.222661197,CON,6,Tnfaip3
4.837276899,IL-1_30,1,Cxcl2
5.332301674,IL-1_30,2,Cxcl2
4.583572991,IL-1_30,3,Cxcl2
7.620518143,IL-1_60,1,Cxcl2
4.356651386,IL-1_60,2,Cxcl2
4.948005404,IL-1_60,3,Cxcl2
-3.307344926,IL-1_120,1,Cxcl2
-1.448164665,IL-1_120,2,Cxcl2
2.269431357,IL-1_120,3,Cxcl2
3.176270943,IL-1_H,1,Cxcl2
3.594488213,IL-1_H,2,Cxcl2
3.734832193,IL-1_H,3,Cxcl2
1.928315376,IL-1_MH,1,Cxcl2
1.88545187,IL-1_MH,2,Cxcl2
1.417906997,IL-1_MH,3,Cxcl2
-0.111124852,CON,2,Cxcl2
-1.153223947,CON,3,Cxcl2
7.93762317,LPS,1,Cxcl2
6.672577572,LPS,2,Cxcl2
7.040757304,LPS,3,Cxcl2
-0.476330641,CON,4,Cxcl2
0.242845321,CON,5,Cxcl2
1.49783412,CON,6,Cxcl2
-1.514223897,IL-1_30,1,Csf3
0.889431117,IL-1_30,2,Csf3
2.672054273,IL-1_30,3,Csf3
4.734648604,IL-1_60,1,Csf3
4.12133202,IL-1_60,2,Csf3
3.621995864,IL-1_60,3,Csf3
-2.707483474,IL-1_120,1,Csf3
0.73889038,IL-1_120,2,Csf3
1.256434301,IL-1_120,3,Csf3
2.801729926,IL-1_H,1,Csf3
3.452003985,IL-1_H,2,Csf3
2.823850943,IL-1_H,3,Csf3
2.676702418,IL-1_MH,1,Csf3
3.303015123,IL-1_MH,2,Csf3
0.152780708,IL-1_MH,3,Csf3
1.322226079,CON,2,Csf3
-0.509701165,CON,3,Csf3
6.764647482,LPS,1,Csf3
6.636149429,LPS,2,Csf3
12.67448325,LPS,3,Csf3
-0.812524914,CON,4,Csf3
3.134100884,IL-1_30,1,Il23a
4.685139236,IL-1_30,2,Il23a
4.327853693,IL-1_30,3,Il23a
5.685829168,IL-1_60,1,Il23a
5.443548013,IL-1_60,2,Il23a
6.037679387,IL-1_60,3,Il23a
1.191720517,IL-1_120,1,Il23a
2.010120488,IL-1_120,2,Il23a
1.423520504,IL-1_120,3,Il23a
4.490641678,IL-1_H,1,Il23a
5.343640373,IL-1_H,2,Il23a
5.590249246,IL-1_H,3,Il23a
4.8180085,IL-1_MH,1,Il23a
4.628376929,IL-1_MH,2,Il23a
5.477365888,IL-1_MH,3,Il23a
-1.381753241,CON,2,Il23a
-1.482260411,CON,3,Il23a
8.110446211,LPS,1,Il23a
7.366678216,LPS,2,Il23a
7.830295268,LPS,3,Il23a
0.854819469,CON,4,Il23a
1.717936125,CON,5,Il23a
0.291258058,CON,6,Il23a
